,user
0,49321
1,260324
2,279577
5,32728
6,239012
8,66162
9,286539
10,136429
11,40885
12,95346
15,247226
19,154095
23,346903
25,130214
26,108598
29,43524
32,141364
33,191040
35,149477
36,170241
37,277403
38,243695
41,241413
43,250612
46,326694
51,362689
53,276348
54,16826
55,217692
58,300691
59,43382
61,232226
62,275816
65,121085
68,151561
71,342055
73,315367
75,165150
80,343469
81,208300
82,359199
83,154708
84,136717
87,86436
88,125190
89,46547
95,158717
96,174622
98,269415
99,272216
101,88667
103,315017
105,289464
106,176837
108,29952
109,58506
111,80022
112,46865
119,373508
120,294061
121,227533
122,274307
123,336048
125,82090
127,172759
128,363912
129,150923
130,240766
132,73223
134,86766
136,110362
138,228474
140,176651
141,242868
143,89913
144,214841
147,170225
148,121464
150,215299
151,149578
152,142203
153,47537
156,192209
157,217236
163,320962
165,328387
169,172087
171,18033
173,90775
175,81272
178,325016
179,344701
180,15823
181,193086
182,10483
183,108138
184,311561
185,241888
186,152833
191,282819
192,233316
193,36569
194,145697
196,283460
197,212945
198,113036
202,358831
204,5981
205,108313
206,341423
207,30872
209,23803
211,12514
212,207206
213,195947
215,155381
217,324522
219,124674
224,340045
225,119499
226,149526
227,76959
231,28258
233,145134
236,145393
237,288267
239,163805
240,206217
242,82627
243,83352
244,291627
245,319135
248,98434
250,217417
251,46205
253,297413
258,347766
260,364228
265,3749
267,274796
270,22411
273,201812
274,18830
275,269752
276,274227
277,363606
280,134072
282,81819
284,226660
287,142664
289,158802
290,41754
293,218279
294,93866
296,187766
300,10953
301,313346
302,286087
306,12764
309,128440
310,51103
311,69980
312,32175
314,320295
315,152250
318,301242
319,205118
320,174375
323,368405
325,128271
327,171184
329,304041
331,167410
333,237227
334,80043
335,219750
340,67380
341,318409
343,246002
345,304122
347,230802
349,48681
350,287735
353,65794
354,92890
355,215649
365,181103
366,224754
371,106707
372,368493
373,243707
377,340491
378,51332
379,45134
380,7205
384,22778
385,143412
386,10993
387,62107
390,325332
393,98174
394,87058
396,30259
397,3818
398,349822
399,10749
400,167536
401,110586
405,316189
411,236773
412,189775
416,193475
417,329102
419,84264
420,2958
421,362764
424,60601
428,265102
437,103060
443,341320
445,318193
446,302676
447,284640
450,30970
452,273759
454,218432
455,51282
456,189530
457,262540
462,185378
464,367380
465,148142
466,110108
467,115701
468,258474
469,16678
470,318280
472,318113
473,252131
474,164731
476,190306
477,137798
478,277336
479,2255
480,312346
484,343429
485,24971
486,146971
487,218982
491,25352
492,34955
493,85337
496,207211
502,98608
503,2220
506,15712
509,325058
510,71965
511,239448
514,98752
515,168869
516,371775
518,260236
519,316623
520,254294
521,354076
522,181747
523,155863
524,9619
526,355892
528,94438
529,89591
530,217344
536,179264
539,294407
540,284786
541,281352
542,295103
543,153555
545,12324
549,209041
550,64912
552,239514
553,137871
554,168397
556,332340
558,271982
560,332087
561,260372
562,359357
564,280599
567,35448
570,97737
575,113872
578,59133
579,121308
581,302231
587,177391
588,53610
589,9488
590,235257
591,346815
592,245919
594,122496
595,278218
596,49954
597,87482
602,163668
605,366951
606,182339
607,39839
608,5926
610,71939
611,64217
614,363838
616,119280
618,305709
619,39729
620,135164
622,193781
623,150721
624,79506
625,201198
627,91001
629,278901
630,255755
636,190840
637,28617
638,199099
639,125294
640,281325
641,273925
642,26425
643,87727
645,40549
646,369067
647,349188
648,347182
649,79407
650,10403
654,222327
655,199899
656,345415
657,301622
660,278961
661,21041
664,284249
665,111848
666,274218
668,141226
670,221643
674,260264
675,147417
676,17951
677,65782
678,20270
679,257237
686,21277
