,user
1,355818
4,18305
5,181631
7,214036
8,136307
14,326559
17,344787
18,56016
19,232394
24,243971
26,208403
28,354095
30,338615
34,40817
36,299520
37,91682
38,293891
40,246662
42,338719
44,166993
45,86498
47,56302
48,81598
49,350304
51,122086
52,1642
56,136296
58,87227
65,30872
67,292696
70,87977
71,209202
74,23115
75,274742
80,14945
83,350746
84,114873
86,205923
89,368382
98,209316
100,279892
105,343443
107,303793
109,118468
112,156007
114,116245
116,257839
119,84423
122,288385
123,76085
124,40836
125,362998
127,193724
128,290965
131,33674
132,223822
134,52567
135,165939
136,212566
142,316613
146,267207
147,14741
148,85339
150,309612
151,259674
153,14111
154,160574
155,300440
156,366514
158,269328
166,129848
167,314609
168,203662
170,136289
172,331846
173,202833
174,91928
175,309888
181,103559
182,69101
183,244645
184,155294
187,87516
189,137406
192,69475
193,279662
195,210676
196,65450
198,55396
199,8141
200,68998
201,170930
202,250345
205,286005
209,38537
210,29732
211,215094
212,133811
216,153384
219,114889
222,122029
225,13913
227,105478
229,218090
230,243159
231,55305
234,319412
235,18491
237,224419
238,307259
239,193102
240,254672
242,33472
244,353513
245,266239
247,62319
252,154656
253,84490
259,118007
260,59747
262,189889
265,22041
268,104624
270,41561
271,167410
276,219482
277,269866
278,211867
280,21862
281,320004
283,329378
284,73327
286,273112
287,10483
293,59947
294,10954
295,230842
296,205748
297,357368
299,119243
300,149024
304,12933
305,346885
308,364142
312,248408
316,122957
319,89291
320,146003
322,48799
323,331792
325,312567
326,352700
329,14463
330,152084
333,42662
335,53281
337,325699
339,103492
341,52927
342,8296
343,322949
346,173760
348,98546
349,220356
351,26654
353,297006
356,210467
357,169269
358,317001
360,343421
363,336473
364,220341
367,6552
368,19837
369,182770
372,268062
376,54512
377,282450
380,274722
381,159437
385,192445
386,2856
387,102874
388,250726
389,154048
390,213483
391,525
394,139517
395,85881
396,43003
397,267624
402,73403
404,158711
405,347861
412,67580
413,327397
416,256057
421,371495
422,170050
423,66701
425,354641
428,300331
430,207920
431,365764
432,288825
435,106922
439,180027
440,147351
441,192991
442,183635
444,196076
445,114577
448,304140
449,6131
452,65404
454,3529
455,329880
459,359595
460,89776
464,276217
468,30788
472,129191
475,298991
476,198430
477,341087
479,243166
481,117573
482,198318
486,232328
487,300883
488,123786
490,120454
491,150564
494,98103
496,41686
499,49381
500,248746
502,173928
503,350622
505,320714
506,328496
507,238098
508,14494
511,260099
514,190327
516,119280
520,140040
524,120027
525,165276
526,26464
527,125052
528,179803
529,359438
530,205167
533,349514
534,173571
535,203963
537,71572
538,210132
539,217394
540,129457
541,92788
545,225292
546,373141
547,230282
548,228503
550,42520
551,253276
552,205440
553,145010
556,358277
559,316190
565,24435
568,58604
575,128741
576,172648
581,55400
583,34861
584,369588
585,106500
586,337694
587,228463
588,150415
590,212477
592,138550
598,33072
599,324737
601,231316
602,288331
604,85
605,305414
609,95412
611,262216
621,348800
622,258836
623,149510
627,19365
631,183537
632,13041
636,61994
641,288217
643,168725
645,306418
646,147401
649,367145
652,197305
653,279722
654,74300
656,5439
658,265953
659,119125
660,212964
661,249027
665,196968
666,85886
671,117910
673,322369
675,114511
676,148325
680,351520
683,110860
684,276857
685,64232
686,370157
693,202139
694,220587
698,281445
700,220946
701,333455
702,285273
705,201232
708,121824
712,311940
713,32892
714,164225
718,168167
719,25113
725,95039
726,76684
727,97243
729,154889
735,334531
736,290008
738,143943
740,341872
742,103060
743,50350
746,334405
748,260693
756,263709
757,372110
758,95368
763,64928
764,222438
768,353923
770,294736
