entry_id,age,monthly_income,years_employed,current_address_year,amount_requested,risk_score,inquiries_last_month,pay_schedule,home_owner,has_debt,personal_account_months,avg_risk_score,avg_ext_quality_score,e_signed
7629673,40,3135,3,3,550,36200,10,bi-weekly,1,1,30,0.6611511880000001,0.480918,1
3560428,61,3180,6,3,600,30150,9,weekly,0,1,86,0.7898405355,0.68072,0
6934997,23,1540,0,0,450,34550,7,weekly,0,1,19,0.69171219025,0.531712,0
5682812,40,5230,6,1,700,42150,8,bi-weekly,0,1,86,0.7931786915,0.6925520000000001,1
5335819,33,3590,5,2,1100,53850,12,semi-monthly,0,1,98,0.6884828144999999,0.744634,0
8492423,21,2303,5,8,600,74850,6,weekly,0,1,86,0.64906139925,0.542556,1
7948313,26,2795,4,4,800,50800,14,bi-weekly,0,1,73,0.74452196025,0.6341300000000001,1
4297036,43,5000,2,1,1100,69100,5,bi-weekly,0,1,25,0.65270207175,0.625905,1
6493191,32,5260,0,3,1150,64050,3,semi-monthly,0,1,49,0.6522664972500001,0.469459,1
8908605,51,3055,6,11,600,59750,5,bi-weekly,1,1,28,0.71319331625,0.7586069999999999,1
8990111,61,3270,4,0,400,61700,7,bi-weekly,1,1,40,0.8087609844999999,0.682466,0
3818616,34,3877,5,2,800,55550,10,weekly,0,1,86,0.81006680425,0.6571739999999999,1
6889184,56,3555,8,8,900,64500,10,bi-weekly,0,1,30,0.72922327,0.6026859999999999,1
6817588,24,2135,1,3,1000,63000,8,bi-weekly,0,1,27,0.5831086065,0.454199,1
6235249,50,3700,2,6,500,2800,16,bi-weekly,0,1,14,0.6307745825,0.4628229999999999,1
8149720,61,6110,6,5,900,76350,2,bi-weekly,0,0,50,0.80780459325,0.495346,1
9375601,29,1515,1,0,400,56600,6,bi-weekly,0,1,29,0.61789747725,0.374144,0
7611317,58,3675,10,10,400,29150,9,weekly,1,1,2,0.761486189,0.724777,1
8515555,36,1520,3,5,900,35600,9,bi-weekly,0,1,57,0.6789248055,0.666315,1
4083808,42,4780,1,1,400,35400,8,semi-monthly,0,1,42,0.554038897,0.61838,1
1403171,62,3240,6,6,1200,68650,4,bi-weekly,0,1,75,0.7286457792500001,0.446364,0
8079784,40,3105,3,4,600,53800,2,bi-weekly,0,1,53,0.7069595452499999,0.5829470000000001,1
3884169,35,5220,5,5,900,62350,6,weekly,1,1,44,0.6756416275,0.635607,0
2868841,66,3625,6,4,1050,61000,15,monthly,0,0,25,0.5963133515,0.499328,1
3470965,37,4499,5,8,700,63500,4,bi-weekly,1,0,50,0.671016775,0.584796,1
1519375,31,2740,1,1,500,67350,9,bi-weekly,0,1,38,0.601143539,0.48102,1
7769592,48,3635,3,2,900,48350,3,bi-weekly,0,1,50,0.69240788625,0.5441590000000001,0
4218775,53,1735,4,2,600,58350,6,monthly,0,1,25,0.7030717527500001,0.555423,1
7290744,50,3165,2,2,700,87550,7,bi-weekly,0,1,26,0.7416250777500001,0.658443,0
