,entry_id
2,4822403
4,2699789
6,3054334
8,7573188
9,7047275
13,7945852
14,3327080
15,3383119
16,6234126
18,3232076
20,9835665
21,2548242
27,2477388
28,8647139
29,4527917
30,9367088
33,2966552
36,1774647
39,1322198
40,9376015
41,6324098
44,4944310
46,3871675
47,1118433
48,4451117
49,9172427
50,4215129
51,5967055
54,1389313
57,5066903
58,9348662
62,6333397
63,2953172
65,8545119
66,1191815
67,7170825
68,2666178
69,3345415
70,7660629
72,8178073
73,9942207
75,1170537
77,2813072
80,1473950
82,8623983
83,2799023
84,8441823
85,6428052
89,6884521
90,6726508
91,4785491
93,8591502
94,6863103
102,6434113
105,1114070
107,5140623
111,7198255
113,2890270
115,9545483
117,3045732
120,1505124
123,5969377
124,3836366
127,1342800
130,8523609
131,1423581
132,4614659
135,8695758
137,7972282
138,3838707
140,4077828
143,5791625
144,8248706
145,3496700
146,9071787
148,4473622
149,4733042
150,4357627
151,2357970
155,1625621
156,2829324
158,1808576
159,7739788
160,4861926
165,4365612
166,2458523
168,6097129
171,2678590
175,5462238
177,4504714
178,8627017
181,3894668
184,9323397
187,8890830
188,3750385
189,5858970
190,5108693
191,4535141
193,3477985
194,3290066
196,6796489
197,8962905
198,1480226
202,7409992
205,7994550
207,9476632
208,3094474
209,8695396
211,2971478
215,9846699
216,7723740
217,4930799
218,5231903
219,2266114
223,1383498
225,6945022
226,7792250
229,6011090
231,8333042
235,3326868
242,2977725
243,9531861
244,1706028
247,2294700
248,2798290
250,8671817
258,9417188
259,5981546
261,9415277
262,2280093
265,8279066
267,1988488
272,5420334
274,7626652
276,8390610
285,9081143
288,9271318
290,2641806
294,7932878
296,7575708
297,1687969
298,7331510
299,1288670
300,7828477
301,7183701
302,6964638
304,5846273
306,7683491
307,2207778
308,5377524
309,9152011
310,6380250
312,4290871
313,6108919
324,7599787
331,2609543
332,8995364
333,6497005
334,1292152
339,7048911
341,1834384
343,7090479
345,6043703
347,2804306
349,7018657
350,8746611
356,3080534
360,4037301
364,5750396
365,6058293
366,9253337
373,6077772
374,3679671
377,9714178
378,8719664
379,3019939
380,2168329
382,9384070
384,5212688
385,9865001
388,7215935
389,7566460
390,9382923
394,8071796
395,2669390
396,7982632
399,5404004
400,6477722
403,1492784
407,6667709
409,2768697
410,6130954
412,4312944
413,4727527
416,6179413
419,3164648
423,9713355
425,3841896
427,7911163
429,2179516
430,8535255
432,3487499
433,4672216
435,5640931
439,1809357
441,3085680
442,6687103
443,7895490
444,1891870
450,7487289
454,8305754
465,4306513
468,9084853
469,4887719
470,2106545
472,6920994
475,1241695
479,3708620
480,4012091
482,1816024
483,7281612
485,7366249
487,2170638
490,3903400
493,2231395
495,9159098
496,5406199
497,6735189
501,5053074
506,1872781
507,3187124
508,6015713
509,4274577
510,6565926
512,8221640
513,2881304
517,1719038
521,4614898
522,1712100
523,7708338
531,7807713
536,6865002
538,6430227
539,8782098
541,2229956
543,9003791
544,9865705
547,8339497
548,8355563
549,5170592
550,8515555
553,9312161
554,2555330
557,3766910
558,1672273
559,6245104
563,8417556
565,2570249
566,3124938
567,2010779
568,6433446
570,8576960
582,8769130
583,3456612
587,8396121
589,9480108
591,3668711
593,7727850
595,5029640
599,9588604
600,7333173
602,7339567
603,2501354
604,1471794
608,5255771
612,5038981
620,8532425
621,1545041
622,1668693
625,4000334
626,2700425
628,1848202
633,4825556
638,2390585
640,5694892
641,8796738
648,9162863
649,7382781
653,7146815
654,5703056
658,3038315
660,2291906
662,9588689
664,8151105
665,6122040
670,6464076
674,1827946
675,3005830
678,9259535
680,9814931
681,1296947
688,7715266
691,8712974
692,3889401
694,9833815
698,8041013
701,8632173
703,2791004
710,1350162
714,5408259
717,9360799
720,4511902
722,3419410
723,6992244
724,9103093
727,2781260
729,9384491
731,8323756
732,9841220
733,9427230
737,6778954
738,3203289
739,2804561
740,5079535
741,3545823
743,2250756
747,9742389
750,3988834
755,9209967
760,4898709
763,4645579
765,9845153
766,9540557
769,7239874
777,6477952
779,6521033
781,4632963
785,4007692
786,9369093
788,5080761
789,3177591
790,3259810
792,8868038
796,9559604
798,4831229
804,4711867
805,1935896
810,3221271
812,6216391
813,7470766
814,1453044
817,6282157
820,8719174
826,9404107
827,8393298
831,6860110
832,9562161
835,7953702
838,3838968
843,3896648
844,3264232
848,7984899
849,9085746
850,7178834
851,5633353
852,2753911
853,7548803
855,5660189
862,4424825
866,9914388
871,4966385
872,1162494
873,8639051
874,8032478
875,4077776
881,8193548
883,5097881
886,1699667
889,2358341
890,5792630
892,5382253
894,2793180
895,5710791
896,1281507
897,1244977
898,1987118
899,2633781
900,6907654
901,3897697
903,3473998
906,8934296
907,5188822
912,2241656
913,6902179
917,4293791
919,6363420
920,9281877
922,7355705
927,8441211
929,7642433
937,3735958
938,8081462
941,3684865
943,3902625
947,5796350
951,1996720
952,2524159
953,8460009
954,4256522
957,4242376
963,1579622
969,3369901
971,1835064
974,3895202
976,8731731
977,2140209
985,8677138
989,3316684
990,8416539
993,7331222
995,2205586
996,2062196
997,2430824
998,6870234
1007,2602703
1009,2013450
1011,4791769
1012,7352099
1015,4291774
1016,8678024
1017,1256266
1021,4758475
1022,2753435
1023,5116683
1024,3005304
1032,9585710
1035,1950765
1036,5596648
1037,1658087
1038,2193576
1039,8149150
1045,2618346
1046,1582693
1049,9806883
1050,6875382
1051,8153730
1052,9347077
1055,6463120
1063,9412630
1064,6750166
1066,9503227
1068,5166873
1075,6579873
1079,3103692
1081,7849406
1082,6653143
1087,9455251
1089,4299544
1090,3007881
1091,9869147
1092,3415666
1099,9811833
1100,8771549
1104,6707064
1105,8490936
1108,7535042
1110,6248402
1114,1781698
1118,6367434
1120,8628182
1121,6055430
1122,8929914
1124,7062673
1126,7566598
1128,3356338
1129,6407288
1133,2487942
1134,4249806
1135,2542984
1136,3390353
1139,8481180
1142,9512492
1144,1288219
1146,1415770
1148,1550976
1149,8095885
1151,8120284
1153,3279469
1154,1618359
1156,5113361
1157,6781131
1158,3464550
1160,2219513
1165,7373311
1167,8809306
1168,3084764
1169,5703487
1177,3907332
1180,1181852
1181,8135271
1184,3121424
1185,9736732
1186,1621201
1188,7291131
1189,5206348
1190,4151960
1191,1706888
1192,5861572
1193,9806402
1194,8337407
1197,5574181
1199,9297124
1201,3942573
1205,4545854
1207,2400065
1214,8131177
1216,7838842
1218,5413098
1221,2268149
1225,1905867
1228,7021422
1229,6148809
1230,5190565
1233,1531542
1235,3359500
1238,7650908
1241,3683336
1242,4488901
1243,3646671
1245,9393416
1246,5633775
1247,7034176
1248,7038807
1249,2406449
1251,7201514
1258,5041715
1259,5301325
1260,3943571
1263,5982823
1264,8425265
1267,2687555
1270,8214533
1275,4356708
1276,6023634
1277,3994506
1278,2120242
1280,1438409
1282,8621198
1285,8208377
1289,8607991
